1962,1,134,12,22
1962,2,77,11,17
1962,3,73,13,13
1962,4,68,20,17
1962,5,80,22,16
1962,6,50,28,11
1962,7,92,18,15
1962,8,99,25,19
1962,9,122,31,19
1962,10,42,15,12
1962,11,105,23,14
1962,12,86,23,18
1963,1,34,14,13
1963,2,96,19,11
1963,3,212,30,25
1963,4,113,29,20
1963,5,53,7,19
1963,6,46,8,15
1963,7,76,16,14
1963,8,104,40,22
1963,9,39,8,16
1963,10,143,56,21
1963,11,206,35,24
1963,12,112,37,17
1964,1,35,12,17
1964,2,166,46,19
1964,3,233,28,20
1964,4,82,16,20
1964,5,106,17,21
1964,6,89,18,16
1964,7,71,22,16
1964,8,134,63,16
1964,9,75,26,17
1964,10,80,13,19
1964,11,73,21,15
1964,12,152,38,19
1965,1,141,31,19
1965,2,5,2,6
1965,3,132,20,17
1965,4,98,27,19
1965,5,100,25,19
1965,6,128,26,20
1965,7,98,17,17
1965,8,79,20,17
1965,9,94,51,19
1965,10,35,10,12
1965,11,206,69,22
1965,12,196,28,23
1966,1,209,42,21
1966,2,299,43,27
1966,3,37,9,17
1966,4,235,36,21
1966,5,80,13,17
1966,6,102,20,19
1966,7,21,10,10
1966,8,90,18,19
1966,9,82,34,13
1966,10,232,34,19
1966,11,37,6,17
1966,12,84,11,23
1967,1,121,20,17
1967,2,136,26,18
1967,3,34,6,17
1967,4,18,9,7
1967,5,134,20,25
1967,6,35,11,7
1967,7,99,18,19
1967,8,101,25,18
1967,9,148,35,20
1967,10,151,26,25
1967,11,64,15,17
1967,12,65,19,17
1968,1,96,14,20
1968,2,64,31,11
1968,3,70,19,14
1968,4,92,24,18
1968,5,79,34,16
1968,6,59,16,15
1968,7,55,32,7
1968,8,74,13,11
1968,9,156,41,21
1968,10,152,23,23
1968,11,186,36,23
1968,12,174,48,20
1969,1,275,55,21
1969,2,54,11,22
1969,3,79,23,13
1969,4,71,20,14
1969,5,117,22,20
1969,6,84,24,12
1969,7,28,13,8
1969,8,38,8,11
1969,9,51,14,12
1969,10,38,14,18
1969,11,113,22,19
1969,12,101,13,21
1970,1,219,33,19
1970,2,93,13,20
1970,3,35,11,18
1970,4,71,16,20
1970,5,33,13,10
1970,6,56,15,11
1970,7,86,18,15
1970,8,48,23,7
1970,9,111,23,23
1970,10,36,7,16
1970,11,216,39,21
1970,12,39,8,13
1971,1,162,27,24
1971,2,34,7,12
1971,3,47,22,15
1971,4,56,22,5
1971,5,43,8,15
1971,6,66,19,14
1971,7,84,20,11
1971,8,121,29,18
1971,9,56,19,12
1971,10,128,31,20
1971,11,55,16,16
1971,12,71,15,17
1972,1,171,35,22
1972,2,190,36,22
1972,3,100,18,20
1972,4,50,9,14
1972,5,145,21,22
1972,6,34,6,19
1972,7,40,22,13
1972,8,44,15,12
1972,9,11,5,4
1972,10,84,19,15
1972,11,121,24,18
1972,12,175,23,25
1973,1,129,31,17
1973,2,84,14,20
1973,3,38,8,12
1973,4,34,13,11
1973,5,182,49,23
1973,6,25,7,9
1973,7,63,32,14
1973,8,74,14,18
1973,9,156,39,16
1973,10,107,35,12
1973,11,101,21,21
1973,12,118,23,19
1974,1,340,45,28
1974,2,134,22,20
1974,3,40,14,8
1974,4,56,21,8
1974,5,151,32,16
1974,6,21,7,11
1974,7,45,13,13
1974,8,118,26,22
1974,9,187,34,23
1974,10,31,12,11
